Year,Province,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
2011,P01,0.78,0.88,0.69,0.69,0.61,0.51,0.50,0.84,0.68,0.70,0.51,0.77,0.73,0.56,0.57,0.60,0.62,0.70,0.66,0.52,0.73,0.61,0.71,0.63,0.59,0.62,0.71,0.64,0.70
2011,P02,0.51,0.56,0.51,0.58,0.72,0.79,0.63,0.69,0.61,0.48,0.69,0.61,0.52,0.79,0.78,0.81,0.63,0.52,0.73,0.77,0.66,0.71,0.67,0.58,0.62,0.72,0.70,0.67,0.64
2011,P03,0.68,0.67,0.52,0.78,0.76,0.65,0.57,0.57,0.64,0.55,0.72,0.74,0.79,0.78,0.74,0.76,0.74,0.69,0.53,0.64,0.70,0.64,0.67,0.70,0.64,0.74,0.69,0.68,0.61
2011,P04,0.77,0.68,0.71,0.66,0.68,0.72,0.56,0.70,0.52,0.64,0.76,0.56,0.54,0.72,0.74,0.74,0.83,0.62,0.65,0.58,0.60,0.61,0.65,0.69,0.63,0.67,0.68,0.75,0.66
2011,P05,0.89,0.74,0.72,0.54,0.68,0.59,0.71,0.57,0.79,0.72,0.50,0.74,0.77,0.70,0.75,0.67,0.68,0.62,0.65,0.62,0.62,0.74,0.68,0.63,0.63,0.72,0.69,0.70,0.76
2011,P06,0.56,0.86,0.63,0.79,0.76,0.63,0.58,0.71,0.63,0.50,0.52,0.58,0.71,0.67,0.67,0.64,0.85,0.65,0.76,0.71,0.72,0.67,0.64,0.74,0.63,0.71,0.71,0.63,0.63
2011,P07,0.73,0.74,0.61,0.55,0.63,0.60,0.73,0.68,0.52,0.67,0.59,0.69,0.46,0.63,0.74,0.67,0.77,0.76,0.70,0.75,0.63,0.58,0.64,0.59,0.67,0.69,0.68,0.72,0.61
2011,P08,0.72,0.57,0.85,0.80,0.66,0.55,0.72,0.69,0.57,0.54,0.76,0.50,0.53,0.61,0.82,0.51,0.75,0.76,0.69,0.78,0.70,0.72,0.70,0.70,0.65,0.74,0.61,0.72,0.68
2011,P09,0.70,0.79,0.76,0.62,0.59,0.55,0.68,0.50,0.53,0.53,0.68,0.54,0.67,0.62,0.63,0.63,0.75,0.67,0.80,0.69,0.63,0.71,0.61,0.68,0.59,0.57,0.71,0.70,0.70
2011,P10,0.50,0.60,0.86,0.75,0.76,0.59,0.80,0.70,0.65,0.41,0.50,0.80,0.72,0.71,0.65,0.62,0.81,0.86,0.84,0.90,0.68,0.78,0.71,0.73,0.76,0.74,0.73,0.68,0.76
