Subcriteria,count,mean,std,min,25%,50%,75%,max
SC01,63.000000,0.689683,0.178090,0.350000,0.555000,0.690000,0.850000,1.000000
SC02,63.000000,0.685873,0.141269,0.320000,0.615000,0.690000,0.765000,1.000000
SC03,63.000000,0.739524,0.146094,0.340000,0.665000,0.760000,0.840000,1.000000
SC04,63.000000,0.627778,0.156509,0.220000,0.540000,0.610000,0.725000,1.000000
SC05,63.000000,0.802381,0.152883,0.440000,0.710000,0.830000,0.950000,1.000000
SC06,63.000000,0.627619,0.164912,0.250000,0.535000,0.620000,0.740000,0.970000
SC07,63.000000,0.837302,0.133141,0.500000,0.740000,0.830000,0.970000,1.000000
SC08,63.000000,0.796032,0.131438,0.460000,0.700000,0.810000,0.900000,1.000000
SC09,63.000000,0.636032,0.151088,0.320000,0.530000,0.610000,0.740000,0.930000
SC10,63.000000,0.624444,0.163764,0.260000,0.540000,0.610000,0.735000,0.970000
SC11,63.000000,0.793810,0.154381,0.470000,0.675000,0.810000,0.915000,1.000000
SC12,63.000000,0.778413,0.153436,0.430000,0.690000,0.800000,0.885000,1.000000
SC13,63.000000,0.805873,0.147710,0.450000,0.700000,0.820000,0.900000,1.000000
SC14,63.000000,0.791746,0.147654,0.380000,0.725000,0.820000,0.895000,1.000000
SC15,63.000000,0.636667,0.165880,0.180000,0.525000,0.650000,0.735000,0.990000
SC16,63.000000,0.699206,0.150647,0.350000,0.595000,0.690000,0.780000,1.000000
SC17,63.000000,0.621270,0.146931,0.280000,0.525000,0.610000,0.745000,0.930000
SC18,63.000000,0.801746,0.144452,0.530000,0.700000,0.810000,0.910000,1.000000
SC19,63.000000,0.770159,0.151311,0.310000,0.680000,0.770000,0.875000,1.000000
SC20,63.000000,0.671746,0.167414,0.210000,0.580000,0.660000,0.790000,1.000000
SC21,63.000000,0.636190,0.159287,0.200000,0.555000,0.650000,0.705000,0.990000
SC22,63.000000,0.683016,0.161691,0.310000,0.555000,0.690000,0.790000,1.000000
SC23,63.000000,0.698254,0.174518,0.280000,0.580000,0.670000,0.825000,1.000000
SC24,63.000000,0.773810,0.155433,0.420000,0.660000,0.760000,0.925000,1.000000
SC25,63.000000,0.766825,0.155230,0.350000,0.660000,0.780000,0.880000,1.000000
SC26,63.000000,0.812540,0.152114,0.440000,0.710000,0.830000,0.930000,1.000000
SC27,63.000000,0.707937,0.137842,0.350000,0.620000,0.720000,0.800000,0.990000
SC28,63.000000,0.641429,0.157038,0.260000,0.555000,0.630000,0.725000,0.970000
