,Importance
SC16,0.1127903849405087
SC07,0.07924780612540587
SC10,0.07610521513588069
SC17,0.07111176535877198
SC24,0.06206207331836251
SC01,0.056652787207028196
SC22,0.05006620804232634
SC13,0.04702360219593648
SC14,0.04483304772085851
SC09,0.04097332133061764
SC04,0.03884883469751785
SC20,0.037514983637215796
SC19,0.02975695044227178
SC11,0.024872735809345035
SC26,0.02474245050171309
SC08,0.023905629105750795
SC06,0.02378069590066189
SC15,0.023576748044968666
SC28,0.020862511277515424
SC25,0.02039782763785359
SC12,0.016207371229881935
SC21,0.015229358491106635
SC23,0.013477120633952278
SC27,0.011885415105258864
SC03,0.010055013550759148
SC02,0.0086632617198623
SC18,0.008604707490348838
SC05,0.0067521733483193085
