Rank,Province,ER_Score,ER_Rank
1,P02,0.9613366988636491,1
2,P08,0.9245495270933834,2
3,P13,0.9156665670544439,3
4,P12,0.9092757558032568,4
5,P10,0.8945610519911225,5
6,P09,0.8925775703347691,6
7,P04,0.836167326851641,7
8,P03,0.808315258264181,8
9,P16,0.7987884468864428,9
10,P01,0.7809842890635632,10
11,P15,0.7786600987310613,11
12,P14,0.7714580878623604,12
13,P06,0.7641694077840608,13
14,P05,0.7621984612804766,14
15,P11,0.7547464058818072,15
16,P44,0.754002561596997,16
17,P35,0.7279321763442261,17
18,P34,0.7027602935831366,18
19,P07,0.6917273880636461,19
20,P36,0.6777775408218598,20
21,P26,0.6541859955066319,21
22,P46,0.5991103755099572,22
23,P28,0.5896622212898388,23
24,P48,0.575618346098717,24
25,P39,0.5691950126119165,25
26,P18,0.5592090495365343,26
27,P29,0.5586179018258626,27
28,P21,0.5459500210323307,28
29,P31,0.5453804608383257,29
30,P25,0.5337620047110274,30
31,P24,0.5247594527594339,31
32,P19,0.5192856824269825,32
33,P27,0.5187899153917688,33
34,P42,0.5151856227509555,34
35,P40,0.5088239506715286,35
36,P17,0.508336284580692,36
37,P20,0.4994441813312761,37
38,P47,0.49171498525350316,38
39,P45,0.46487303401771657,39
40,P56,0.46050113386984365,40
41,P32,0.46049272493222315,41
42,P23,0.45895835183715644,42
43,P51,0.4449487298148395,43
44,P22,0.4431170176197408,44
45,P41,0.4392806769369811,45
46,P53,0.4383256601782387,46
47,P54,0.4351363637580021,47
48,P33,0.4266398568176171,48
49,P43,0.41897030957810794,49
50,P37,0.41663688146610633,50
51,P38,0.3919604931461236,51
52,P30,0.38325661098404495,52
53,P63,0.3811965441269136,53
54,P52,0.36992594517739497,54
55,P49,0.2859573386213692,55
56,P55,0.28334700254166145,56
57,P61,0.19395620831101232,57
58,P60,0.18831040627860193,58
59,P50,0.17837157371306833,59
60,P62,0.14428816446168719,60
61,P57,0.10843474475485387,61
62,P58,0.10751163949383355,62
63,P59,0.10301939485551082,63
