Entity,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,Prediction_Year
P01,0.890240,0.960951,0.843965,0.826578,0.733090,0.795868,0.758825,1.000000,0.908430,0.914202,0.732978,0.959697,0.958911,0.812679,0.744620,0.721023,0.719501,0.824549,0.743093,0.631748,0.778199,0.793548,0.798719,0.812485,0.791694,0.804361,0.814070,0.815755,0.799175,2025
P02,0.672702,0.681247,0.703426,0.680374,0.785316,0.998758,0.848285,0.912201,0.909247,0.677064,0.849300,0.734345,0.762358,0.904744,0.953562,0.868729,0.695117,0.652062,0.763231,0.810211,0.759965,0.760218,0.773020,0.774723,0.772972,0.769665,0.778496,0.779059,0.768512,2025
P03,0.864923,0.876512,0.608643,0.931963,0.861746,0.828619,0.798207,0.836320,0.881675,0.774714,0.913643,0.929611,0.989764,0.906431,0.827441,0.778752,0.817858,0.714680,0.653773,0.749824,0.809146,0.797304,0.801898,0.813684,0.812337,0.812865,0.825801,0.858435,0.808320,2025
P04,0.850901,0.728769,0.866814,0.819418,0.776480,0.886325,0.803440,0.948708,0.803381,0.873926,0.936429,0.752884,0.710263,0.880042,0.886045,0.834986,0.871816,0.688894,0.768106,0.715591,0.801760,0.798412,0.803483,0.813602,0.811105,0.794363,0.779228,0.800816,0.778204,2025
P05,0.944146,0.851532,0.830006,0.652634,0.869199,0.752238,0.952602,0.853381,0.998177,0.939202,0.719458,0.908851,0.935478,0.926161,0.898713,0.749975,0.786102,0.726968,0.694564,0.691228,0.793387,0.826012,0.812065,0.822852,0.810725,0.799281,0.817262,0.806489,0.810380,2025
P06,0.705004,0.957318,0.712175,0.915630,0.902159,0.885945,0.870663,1.000000,0.830603,0.781056,0.804634,0.779480,0.942470,0.920553,0.858375,0.747767,0.849418,0.711403,0.859390,0.773738,0.817690,0.822625,0.817641,0.823512,0.830891,0.820699,0.813880,0.816425,0.815047,2025
P07,0.780308,0.816402,0.763436,0.712899,0.778960,0.805184,0.929093,0.883260,0.765949,0.868950,0.826218,0.759551,0.720993,0.848260,0.984231,0.740322,0.800550,0.790359,0.782035,0.847178,0.786646,0.780060,0.806965,0.767784,0.780560,0.779213,0.789319,0.818481,0.787263,2025
P08,0.896440,0.750755,0.959940,0.879212,0.759195,0.774739,0.952020,0.937093,0.813324,0.775972,0.933537,0.712752,0.722120,0.896295,0.933970,0.671775,0.772489,0.837354,0.752159,0.839176,0.772829,0.797914,0.793897,0.797634,0.800106,0.803656,0.781679,0.797582,0.787135,2025
P09,0.776553,0.794017,0.864640,0.749735,0.698064,0.807003,0.865353,0.741880,0.732352,0.820386,0.855733,0.690249,0.866447,0.796361,0.855229,0.732762,0.806402,0.710872,0.884948,0.697458,0.739200,0.770246,0.769922,0.775079,0.793854,0.789537,0.777897,0.767555,0.766591,2025
P10,0.615904,0.721185,0.921382,0.839565,0.876440,0.832673,0.972639,0.921101,0.833884,0.673056,0.734021,0.915286,0.915641,0.903460,0.786842,0.795417,0.861207,0.865335,0.859668,0.876490,0.786736,0.817205,0.795377,0.814347,0.810942,0.817377,0.794762,0.818744,0.821004,2025
P11,0.743175,0.566362,0.741573,0.948372,0.941466,0.717121,0.798092,0.838568,0.770325,0.786141,0.857341,0.924341,0.867815,0.746991,0.874742,0.703565,0.696961,0.838583,0.757278,0.838522,0.793386,0.806717,0.787567,0.793536,0.788745,0.776084,0.778639,0.785643,0.780844,2025
P12,0.792365,0.893318,0.704696,0.739058,0.810106,0.820118,0.977459,0.785622,1.000000,0.910375,0.891890,0.805140,0.876716,0.797403,0.781496,0.793532,0.671704,0.614799,0.682080,0.683825,0.772616,0.782639,0.770739,0.798521,0.773880,0.767618,0.786771,0.777213,0.787076,2025
