Component,Entropy_Weight,Critic_Weight,Pca_Weight,Ensemble_Weight,Mean_Weight,Std_Weight,Rank
C14,0.070749,0.054519,0.052581,0.053705,0.057889,0.007457,1
C16,0.063366,0.056289,0.046511,0.051699,0.054466,0.006194,2
C11,0.054371,0.050439,0.055050,0.051760,0.052905,0.001880,3
C20,0.061820,0.054721,0.042203,0.050514,0.052315,0.007100,4
C01,0.048487,0.049270,0.058609,0.052165,0.052133,0.003982,5
C02,0.060457,0.052670,0.044586,0.050122,0.051959,0.005711,6
C17,0.045487,0.054230,0.054244,0.052157,0.051530,0.003590,7
C15,0.053863,0.048963,0.051153,0.050224,0.051051,0.001800,8
C07,0.053937,0.049377,0.050638,0.050105,0.051014,0.001746,9
C19,0.052693,0.053559,0.046492,0.050513,0.050814,0.002731,10
C10,0.049491,0.048792,0.053244,0.050509,0.050509,0.001693,11
C13,0.048939,0.048669,0.051328,0.049846,0.049696,0.001039,12
C12,0.048326,0.048166,0.050413,0.049360,0.049066,0.000903,13
C08,0.050690,0.048981,0.047063,0.048831,0.048891,0.001283,14
C18,0.047422,0.052261,0.045561,0.049206,0.048612,0.002470,15
C09,0.042249,0.045978,0.050310,0.048395,0.046733,0.003010,16
C06,0.040003,0.046456,0.051310,0.048471,0.046560,0.004160,17
C05,0.036273,0.047382,0.050756,0.048416,0.045707,0.005582,18
C03,0.040576,0.045150,0.045942,0.046713,0.044595,0.002385,19
C04,0.030801,0.044127,0.052005,0.047288,0.043555,0.007879,20
